# S/N, sampno, secs from file start, boxcar, idt, dm, beamno,mjd, sampno_start, sampno_end, idt_start, idt_end, ncands
0.5 200.0 49.280 1925735 1925.735 2 733 199.180 0 57946.549327537999488 1925683 1925850 647 869 37
0.5 200.0 49.460 2105735 2105.735 2 733 199.180 0 57946.551410870997643 2105623 2105852 586 867 41
0.5 200.0 49.480 1985735 1985.735 2 733 199.180 0 57946.550021982002363 1985668 1985822 638 823 33
0.5 200.0 49.520 365735 365.735 2 733 199.180 0 57946.531271981999453 365678 365848 642 847 20
0.5 200.0 49.530 1685735 1685.735 2 733 199.180 0 57946.546549760001653 1685660 1685814 624 820 31
0.5 200.0 49.590 2165735 2165.735 2 733 199.180 0 57946.552105315000517 2165679 2165813 645 825 38
0.5 200.0 49.590 2345736 2345.736 2 734 199.450 0 57946.554188659996726 2345678 2345823 648 836 30
0.5 200.0 49.600 845735 845.735 2 733 199.180 0 57946.536827538002399 845692 845825 643 835 29
0.5 200.0 49.620 2705736 2705.736 2 734 199.450 0 57946.558355326997116 2705676 2705833 642 835 48
0.5 200.0 49.650 1085735 1085.735 2 733 199.180 0 57946.539605315003428 1085661 1085806 646 808 36
0.5 200.0 49.700 1325735 1325.735 2 733 199.180 0 57946.542383093001263 1325675 1325801 635 817 32
0.5 200.0 49.760 3005735 3005.735 2 733 199.180 0 57946.561827537996578 3005689 3005817 652 828 49
0.5 200.0 49.770 1565735 1565.735 2 733 199.180 0 57946.545160870999098 1565646 1565838 620 843 43
0.5 200.0 49.790 2645735 2645.735 2 733 199.180 0 57946.557660871003463 2645619 2645861 556 862 32
0.5 200.0 49.860 1805735 1805.735 2 733 199.180 0 57946.547938648996933 1805682 1805832 649 837 32
0.5 200.0 50.150 1625735 1625.735 2 733 199.180 0 57946.545855315001972 1625677 1625817 640 817 20
0.5 200.0 50.260 2825735 2825.735 2 733 199.180 0 57946.559744204001618 2825664 2825812 630 817 36
0.5 200.0 50.270 2885735 2885.735 2 733 199.180 0 57946.560438649001298 2885669 2885807 632 817 39
0.5 200.0 50.280 605735 605.735 2 733 199.180 0 57946.534049759997288 605685 605820 652 828 46
0.5 200.0 50.310 2465735 2465.735 2 733 199.180 0 57946.555577537998033 2465663 2465830 630 828 34
0.5 200.0 50.540 2765735 2765.735 2 733 199.180 0 57946.559049759998743 2765689 2765832 651 837 30
0.5 200.0 50.660 1505735 1505.735 2 733 199.180 0 57946.544466427003499 1505676 1505805 634 824 36
